,ARTIST,BORN-DIED,URL,BioText
12,"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",https://www.wga.hu/bio/a/adam/lambert/biograph.html,"
French sculptor belonging to a family of sculptors. Originally from Lorraine, the earliest known members of the family to be involved with the arts were Sigisbert Adam, a sculptor, and Lambert Adam, a metal-founder (both active late 17th century). Lambert's son Jacob-Sigisbert Adam spent most of his working life in Nancy, where he undertook the early training of his sons Lambert-Sigisbert Adam (1700-1759), Nicolas-Sébastien Adam (1705-1778), and François-Gaspard-Balthazar Adam (1710-1761). His daughter Anne married Thomas Michel (d. before 1751), a sculptor from Metz; among their children were the sculptors Sigisbert-François Michel (1727-after 1785) and Claude Michel (known as Clodion). The three Adam brothers went to Rome at the start of their careers, Lambert-Sigisbert and Nicolas-Sébastien returning to France to work on the outdoor sculpture at Versailles, among other projects, and François-Gaspard-Balthazar going on to Sanssouci, Potsdam."
13,"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",https://www.wga.hu/bio/a/adam/nicolas/biograph.html,"
French sculptor belonging to a family of sculptors. Originally from Lorraine, the earliest known members of the family to be involved with the arts were Sigisbert Adam, a sculptor, and Lambert Adam, a metal-founder (both active late 17th century). Lambert's son Jacob-Sigisbert Adam spent most of his working life in Nancy, where he undertook the early training of his sons Lambert-Sigisbert Adam (1700-1759), Nicolas-Sébastien Adam (1705-1778), and François-Gaspard-Balthazar Adam (1710-1761). His daughter Anne married Thomas Michel (d. before 1751), a sculptor from Metz; among their children were the sculptors Sigisbert-François Michel (1727-after 1785) and Claude Michel (known as Clodion). The three Adam brothers went to Rome at the start of their careers, Lambert-Sigisbert and Nicolas-Sébastien returning to France to work on the outdoor sculpture at Versailles, among other projects, and François-Gaspard-Balthazar going on to Sanssouci, Potsdam."
14,"ADAM-SALOMON, Antoine-Samuel","(b. 1818, La Ferte-sous-Jouarre, d. 1881, Paris)",https://www.wga.hu/bio/a/adam-sal/biograph.html,"
French photographer who was a sculptor in his early career. He exhibited in the Paris Salon, first under his own name and then under the name Adama. Adam-Salomon learned photography in 1858 in Munich; in the following year, he opened his own portrait photography studio in Paris while continuing to sculpt."
15,"ADAM, Albrecht","(b. 1786, Nördlingen, d. 1862, München)",https://www.wga.hu/bio/a/adam1/biograph.html,"
German painter, part of a family of painters. Albrecht Adam had four sons who were artists: Benno Adam (1812-1892), Franz Adam (1815-1886), Eugen Adam (1817-1880), and Julius Adam (1826-1874). Albrecht's brother Heinrich Adam (1787-1862) was also an artist. Richard Benno Adam (1873-1937) was the grandson of Benno Adam."
16,"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",https://www.wga.hu/bio/a/adam2/biograph.html,"
Scottish architect and designer. Part of a British family of architects active 17th-18th centuries, he is the son of a Scottish architect, William Adam Sr. (1689-1748). He is considered the most important architect of the late eighteenth century in England. Together with his brother James (1730-1794), he transformed Palladian Neoclassicism in England into the airy, light, elegant style that bears their name (Adam style). His major architectural works include public buildings (especially in London), and his designs were used for the interiors of such country mansions as Syon House in Middlesex (now in Hounslow, London)."
17,"ADELCRANTZ, Carl Fredrik","(b. 1716, Stockholm, d. 1796, Stockholm)",https://www.wga.hu/bio/a/adelcran/biograph.html,"
Swedish architect, son of the architect Göran Josuae Adelcrantz (1668-1739). Appointed Supervisor of Court Buildings in Stockholm (1741), he remodeled the riding-master's quarters at Ulriksdal as a theatre in the Rococo style (1753). Drawing on Chamber's Designs for Chinese Buildings (1757), he created the charming Chinoiserie pavilion at Drottningholm (1763-69), and designed two more theatres: Drottningholm (1764-66) and the Royal Opera in Stockholm (1777-82). In 1768-74 he built the Adolf-Fredrik Church in Stockholm, much influenced by French Classicism, and remodeled other Stockholm buildings in a Neoclassical style.



"
18,"ADEMOLLO, Luigi","(b. 1764, Milano, d. 1849, Firenze)",https://www.wga.hu/bio/a/ademollo/biograph.html,"
Italian painter. He enrolled at the Academy of Fine Arts of Brera in Milan, his teachers were Giuliano Traballesi, Giocondo Albertolli and Giuseppe Piermarini. In 1788 he arrived in Florence and executed, in 1789, the decorations of the Teatro della Pergola. The same year he was appointed professor at the Academy of Fine Arts in Florence."
19,"ADLER, Salomon","(b. 1630, Danzig, d. 1709, Milano)",https://www.wga.hu/bio/a/adler/biograph.html,"
German painter. There were few Jewish secular artists in Europe prior to the Emancipation that spread throughout Europe with the Napoleonic conquests. There were few exceptions: Salomon Adler, a prominent portrait painter was one of the earliest, and most successful Jewish painters in post-medieval Europe for which there is any documentation. "
20,"ADOLPHI, Christoffel","(b. ca. 1631, Augusburg, d. 1680, Amsterdam)",https://www.wga.hu/bio/a/adolphi/biograph.html,"
Christoffel Adolphi (also known as Christoph Adolfzoon), Dutch medallist. Only nine medals are known by him, but only a few of these bear his signature. His best works date from 1666 to 1676 and are characteristic of Dutch medallic art of that period.



"
21,"ADRIAENSSEN, Alexander","(b. 1587, Antwerpen, d. 1661, Antwerpen)",https://www.wga.hu/bio/a/adriaens/biograph.html,"
Flemish painter. He was the son of the composer Emanuel Adriaenssen and brother to the painters Vincent Adriaenssen (1595-1675) and Niclaes Adriaenssen (1598-1648/9). In 1597 he was apprenticed to Artus van Laeck (d 1616) and in 1610 became a master in the painters' guild. In 1632 he took on Philips Milcx as apprentice, and in 1635 he painted the coats of arms of the 17 provinces on the triumphal arches in honour of the new governor. Adriaenssen's many signed and often dated oil paintings on wood and canvas are all still-lifes, mainly of food on tables with copper- and tinware, glass and pottery (e.g. Still-life with Fish, 1660; Amsterdam, Rijksmuseum). There are four paintings of vases of flowers, but vases of flowers, as well as single flowers on the table, also appear in other still-life combinations. Only two canvases are known in which he worked with figure painters: a garland of flowers around a painting of the Holy Family (private collection) by Simon de Vos and a porcelain bowl of fruit beside a Virgin and Child (private collection) attributed to a follower of Rubens.
"
22,ADRIANO FIORENTINO,"(b. ca. 1455, Firenze, d. 1499, Firenze)",https://www.wga.hu/bio/a/adriano/biograph.html,"
Italian sculptor, military engineer, bronze founder, and medallist. Like his collaborator Bertoldo di Giovanni, he may have started his working life as a servant in the house of Lorenzo de' Medici. An 'Adriano nostro' is recorded delivering letters for Lorenzo in 1483 and again in March 1484, when Lorenzo referred to him as 'Adriano formerly our groom' (staffiere).  He worked at courts in Italy and also in Germany, where he produced one of his best-known works, a bronze bust of Elector Frederick III the Wise in contemporary costume (Staatliche Kunstsammlungen, Dresden)."
23,"AELST, Willem van","(b. ca. 1626, Delft, d. 1683, Delft)",https://www.wga.hu/bio/a/aelst/biograph.html,"
Dutch still-life painter from Delft. He was a good draughtsman and vivid colourist. He specialized in still-lifes, as did his uncle and teacher Evert van Aelst of Delft (1602–57), whose name survives only in inventories and who died in poverty. Willem’s earliest known work, a Still-life with Fruit (1642; destroyed in World War II), is likely to have been influenced by his uncle’s style. On 9 November 1643 he enrolled in the Delft painters’ guild and from 1645 to 1649 was in France. From 1649 to 1656 he worked in Florence as court painter to Ferdinando II de’ Medici, Grand Duke of Tuscany. There he met his fellow countrymen Matthias Withoos and Otto Marseus van Schrieck, the latter also a still-life painter, who probably influenced van Aelst’s detailed and smooth style, and with whom van Aelst returned to the Netherlands in 1656 — first briefly to Delft before settling in Amsterdam in 1657. Van Aelst’s usual signature on paintings, Guill[er]mo van Aelst, recalls his stay in Italy, as does the (occasional) use of his bent-name ‘Vogelverschrikker’ (scarecrow), which appears, for example, on a Still-life with Poultry (1658; Rijksmuseum, Amsterdam)."
24,"AENVANCK, Theodoor","(b. 1633, Antwerpen, d. 1690, Antwerpen)",https://www.wga.hu/bio/a/aenvanck/biograph.html,"
Flemish painter. He is believed to have been a pupil of Jan Davidsz. de Heem around 1647. His chosen genre was still-life painting. He became a member of the Antwerp Guild of St. Luke in 1647, and in 1669 he became master."
25,AERT VAN ORT,(active ca. 1490-1536),https://www.wga.hu/bio/a/aert/biograph.html,"
Aert van Ort (other names: Aert van Ortkens, Arnold of Nijmegen, Arnoult de Nimegue), Netherlandish glass painter. He was one of the most productive and influential stained-glass artists of the early 16th century and according to Guicciardini invented the technique of firing enamel colour into glass. He began his career in Tournai, where his most famous works are the transept windows of the cathedral (c. 1500), over-restored by Jean-Baptiste Capronnier c. 1845. Shortly after 1500 Aert van Ort was called to Rouen, where he influenced a generation of Norman glass painters. His work is exemplified in windows in Rouen Cathedral; the Crucifixion now in York Minster, England, originally from St Jean, Rouen; and windows in St Vincent or St Godard, Rouen.



"
26,"AERTSEN, Pieter","(b. 1508, Amsterdam, d. 1575, Amsterdam)",https://www.wga.hu/bio/a/aertsen/biograph.html,"
Netherlandish painter, active in his native Amsterdam and in Antwerp. A pioneer of still life and genre painting, he is best known for scenes that at first glance look like pure examples of these types, but which in fact have a religious scene incorporated in them (Butcher's Stall with the Flight into Egypt, University of Uppsala, 1551). Aertsen was the head of a long dynasty of painters, of whom the most talented was his nephew and pupil Joachim Beuckelaer.


"
27,"AGABITI, Pietro Paolo","(b. ca. 1470, Sassoferato, d. ca. 1540, Cupramontana)",https://www.wga.hu/bio/a/agabiti/biograph.html,"
Italian painter and possible woodcutter. He spent his early years in Sassoferrato, where his family owned a ceramics workshop. Around 1497 he probably visited the Veneto region, since his Virgin and Child with Saints (Padua, Museo Civico) painted that year shows the strong influence of painters active there such as Cima da Conegliano. The painting also reflects the Bolognese style of Francesco Francia and that of the Romagnian Marco Palmezzano. In Venice, Agabiti may have made woodcuts after the illustrations for Francesco Colonna's Hypnerotomachia Poliphili (Venice, 1499). By 1502 he had returned to the Marches, where he executed a painting (untraced) for San Rocco, Jesi, the town where in 1507 he is documented as residing. After 1510 he was again in Sassoferrato, where in 1511 he signed and dated both the Virgin and Child Enthroned with Saints (Sassoferrato,  Galleria Civica d'Arte Moderna) and the Nativity in Santa Maria del Piano. In 1518, for the same church, he signed and dated an altarpiece depicting the Virgin and Child with SS Catherine and John the Baptist (in situ). In San Fortunato, Sassoferrato, he executed the Virgin and Child with Saints (1521; in situ), in which the influence of Marco Palmezzano is even more evident."
28,"AGASSE, Jacques-Laurent","(b. 1767, Geneve, d. 1849, London)",https://www.wga.hu/bio/a/agasse/biograph.html,"
English painter of Swiss birth. Born into a wealthy and politically influential Huguenot family, Agasse spent his early childhood at the country estate of Crévin, where he may have developed the interest in animals and natural history that was to guide his later career as an artist in England. Agasse trained first at the Ecole du Colibri in Geneva and subsequently in Paris under Jacques-Louis David (beginning in 1787) and possibly under Horace Vernet. His early artistic output consisted chiefly of unpretentious silhouette 'cut-outs' in the style of Jean-Daniel Huber. At this time he also undertook a serious study of dissection and veterinary science."
29,AGNOLO DI VENTURA,(active 1311-1349 in Siena),https://www.wga.hu/bio/a/agnol/biograph.html,"
Italian architect and sculptor (also Agnolo da Siena). He is first mentioned in 1311 amongst the taxpayers of the district of San Quirico in Siena. The surviving documents testify to his activity as civic and military architect for the Comune di Siena: in 1319 he was paid for a number of works at Porta Salaria, in 1333 he was consulted on the extension of the Duomo, and in 1334-35 he was in charge of the fortifications of Grosseto and Massa Marittima. He may have also executed the projects for Porta Sant'Agata and Porta Romana in Siena. There are no surviving documents referring to his life and work after 1349."
30,AGNOLO DI POLO,"(b. ca. 1470, Firenze, d. after 1498)",https://www.wga.hu/bio/a/agnolo/biograph.html,"
Italian sculptor. He belonged to a family of well-known artisans; his grandfather Agnolo di Lippo di Polo had worked as an assistant on the stained glass for the cupola of Florence Cathedral and took the name de' Vetri, sometimes also used by his descendants. Agnolo's father, Polo di Agnolo, made masks and had his workshop on the Ponte Vecchio, Florence, and his brother Domenico de' Vetri engraved precious stones and medals. Vasari said that Agnolo was a pupil of Verrocchio, adding that 'he worked very well in clay and has filled the city with works from his hands'. Given the artist's birth date and that Verrocchio left Florence forever in 1483, Agnolo's apprenticeship would have been very brief; it is probable that he stayed on in the workshop when it was directed by Lorenzo di Credi.


"
31,AGOSTINO DI DUCCIO,"(b. 1418, Firenze, d. 1481, Perugia)",https://www.wga.hu/bio/a/agostin/biograph.html,"
Florentine sculptor and architect. He was the most original if not the greatest sculptor of his time, and the only 15th century sculptor born in Florence who owed little to Donatello or Ghiberti. His fresh and lively style was linear and graceful with distinctive swirling draperies."
32,AGOSTINO DI GIOVANNI,(active 1310-1347 in Siena),https://www.wga.hu/bio/a/agostino/biograph.html,"
Italian sculptor and architect. He is first documented in 1310 in Siena, when he married Lagina di Nese, who was possibly a sister of the sculptor Cellino di Nese of Pistoia. Their two sons Giovanni d'Agostino and Domenico both became sculptors and master builders, but Agostino seems to have been the most significant artist in the family."
33,"AGRATE, Gian Francesco Ferrari d'","(b. 1489, Parma, d. ca. 1563, Parma)",https://www.wga.hu/bio/a/agrate/biograph.html,"
Italian sculptor and architect, part of a Lombard family of sculptors, active in Parma. His brother Marco (died after 1571) was also sculptor. Gian Francesco worked as an assistant and follower of Bernardino Zaccagni on the construction and then the decoration of the church of Steccata (1532), furthermore on the pilasters and pillars in the church of San Giovanni Evangelista, both in Parma. In 1514 he executed the window on the façade of the Cathedral Library in Parma, and the mausoleum of Montini (1507) and Vincent Carissimi (1520) in the cathedral. Between 1528 and 1536 he made the monument to Sforzino Sforza in the Steccata."
34,"AGRESTI, Livio","(b. 1505, Forli, d. 1579, Roma)",https://www.wga.hu/bio/a/agresti/biograph.html,"
Italian painter, a pupil of Francesco Menzocchi (1502-1574). In 1535 he painted the frescoes of the Eucharist and the Prophets for the Chapel of the Sacrament in Forli Cathedral (now in the Pinacoteca Civica di Forli). In 1539, he painted in the Church of Santa Maria dei Servi. He joined the Accademia di San Luca in Rome in 1534. In 1544, he painted the frescoes of allegorical figures in the Sala Paolina of the Castel Sant'Angelo in Rome, under the supervision of Perino del Vaga. Agresti also helped decorate the church of Santa Maria in Cosmedin in Rome."
35,"AGUADO LÓPEZ, Antonio","(b. 1764, Sangüesa, d. 1831, Sangüesa)",https://www.wga.hu/bio/a/aguado/biograph.html,"
Spanish architect. Disciple of Juan de Villanueva, he studied in the Royal Academy of Fine Arts of San Fernando, being pensioned to continue its formation in Italy and in France. In 1795 he was appointed member of the Commission of Architecture of the Academy, as well as professor in the same one. In 1799 he was appointed Lieutenant Director of Architecture and finally in 1805 Director of Architecture."
36,"AIMO, Domenico","(b. ca. 1465, Varignana, d. 1539, Bologna)",https://www.wga.hu/bio/a/aimo/biograph.html,"
Italian sculptor. In 1511, he is documented to produce two sculptures for the lunette of the Porta Magna of San Petronio, Bologna: an archivolt relief depicting a half-length figure of Moses, and a statue of St Ambrose."
37,"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",https://www.wga.hu/bio/a/aivazovs/biograph.html,"
Russian painter of Armenian descent, most famous for his seascapes, which constitute more than half of his paintings. He was born in the town of Feodosiya, Crimea, to a poor Armenian family. His parents family name was Aivazian. Some of artist's paintings bear a signature, in Armenian letters, ""Hovhannes Aivazian""."
38,"AKEN, Joseph van","(b. ca. 1699, Antwerpen, d. 1749, London)",https://www.wga.hu/bio/a/aken/biograph.html,"

Joseph van Aken (also Vanaken or Haeken), Flemish painter, active in England. In Antwerp he began painting genre scenes in the Flemish tradition. He arrived in London with his family c. 1720 and continued to produce genre paintings as well as conversation pieces. His paintings reveal his Flemish training, although the figures are wooden and stilted and the work devoid of moralizing intent. They also show his adaptation of this genre tradition to contemporary London scenes, and the several versions of these works attest to their popularity."
39,"AKOTANTOS, Angelos",(died before 1457),https://www.wga.hu/bio/a/akotanto/biograph.html,"
Greek painter of post-Byzantine icons, active in the island of Crete. He probably came from Constantinople and was the founder of the Cretan school of icon painting which flourished from the second half of the 15th century until the 17th century.



"
40,"ALBA, Macrino d'","(b. ca. 1460, Alba, d. ca. 1528, Alba)",https://www.wga.hu/bio/a/alba/biograph.html,"
Macrino d'Alba (Gian Giacomo de Alladio), Italian painter. Inscriptions on his altarpieces indicate he was born in Alba. He probably trained elsewhere; his early works, with the exception of the portrait of Andrea Novelli, Bishop of Alba (Isola Bella, Museo Borromeo), cannot be traced to a precise location. His patrons were mainly from the Paleologo court at Casale Monferrato, where he was the official painter. His earliest signed and dated work is the triptych of the Virgin Enthroned between SS John the Evangelist, James the Greater, John the Baptist and Thomas Aquinas and Two Donors (1495; Turin, Museo Civico d'Arte Antica), and it and the Virgin and Child between SS Nicholas and Martin (Rome, Pinacoteca Capitolina) show the influence of Lombard painters, particularly Ambrogio Bergognone; some writers have suggested that this may indicate a journey through central Italy, perhaps to Rome."
41,"ALBANI, Francesco","(b. 1578, Bologna, d. 1660, Bologna)",https://www.wga.hu/bio/a/albani/biograph.html,"
Albani studied in Bologna with the Mannerist Denijs Calvaert before joining the Carracci Academy where he was an enthusiastic pupil. Like so many other artists from Bologna, he moved to Rome to study classical art which he then applied with zeal to his own work. Albani's classicism can be seen in the altarpieces he painted after returning to Bologna. Among them is The Baptism of Christ now in the Bologna Pinacoteca Nazionale."
42,"ALBEREGNO, Jacobello",(died before1397 in Venice),https://www.wga.hu/bio/a/alberegn/biograph.html,"
Italian painter. Only one known document, dated July 1397, mentions Alberegno, referring to him as deceased, and we have a single signed work, the tempera on panel triptych with gold background depicting the Crucifixion in the middle and St Gregory and St Jerome in the side panels (Gallerie dell'Accademia, Venice). Although he was faithful to the Byzantine culture made popular by Paolo Veneziano, Alberegno introduced to Venice, through Giusto de' Menabuoi, the new contribution of Giotto (Polyptych of the Apocalypse, Gallerie dell'Accademia, Venice).



"
43,"ALBERTI, Antonio","(b. ca. 1390, Ferrara, d. ca. 1442, Urbino)",https://www.wga.hu/bio/a/albert/biograph.html,"
Italian painter, active in Ferrara, Bologna, and Urbino. He married a woman from Urbino in 1423, and settled there permanently in 1424."
44,"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",https://www.wga.hu/bio/a/alberti/biograph.html,"
Italian architect, humanist, antiquarian, mathematician, art theorist, ""universal man"" of the Early Renaissance. He is principally famous as an architect, but is also known to have practised as a painter and sculptor. The only work attributable to him in these arts is the plaque, said to be a self-portrait, in Washington. His importance in the arts of painting and sculpture is on account of his theoretical writings, De Sculptura and especially Della Pittura (1435), which gives the first exposition in the Renaissance of the theory of perspective as well as of History Painting. His influential treatise Della Pittura (On Painting) was the first modern manual for painters. It was circulated in manuscript until 1540, when it was first printed.

"
45,"ALBERTI, Cherubino","(b. 1553, Borgo San Sepolcro, d. 1615, Roma)",https://www.wga.hu/bio/a/alberti1/cherubin/biograph.html,"
Italian painter and printmaker, part of a family of artists, brother of Alessandro and Giovanni Alberti. The best known of the three sons of Alberto Alberti, he distinguished himself as a printmaker at an early age. One of his earliest prints, an etching of the Virgin and Child (1568) shows his interest in Raphael as well as in contemporary Mannerist art. In Rome he studied with Cornelis Cort, whose swelling burin line he adopted to create pictorial effects of strong chiaroscuro."
46,"ALBERTI, Giovanni","(b. 1558, Borgo San Sepolcro, d. 1601, Roma)",https://www.wga.hu/bio/a/alberti1/giovanni/biograph.html,"
Italian painter, part of a family of artists, brother of Cherubino and Alessandro Alberti. He distinguished himself as an expert in perspective design, for which he was praised by Ignazio Danti (1536-1586), Federico Zuccaro and Giovanni Baglione. He is thus usually credited with the design of the architectural perspectives in the fresco decorations he painted in collaboration with his brothers. He also painted putti and ornamental figures. He assisted Danti in the Sala dei Palafrenieri and Sala Vecchia degli Svizzeri in the Vatican (after February 1582) and was influenced by Danti's belief that perspective decorations should be oriented for the most typical viewing point of the spectator."
47,"ALBERTINELLI, Mariotto","(b. 1474, Firenze, d. 1515, Firenze)",https://www.wga.hu/bio/a/albertin/biograph.html,"
Florentine painter, trained by Cosimo Rosselli, in whose studio he met Fra Bartolomeo. The two went into partnership in 1508, but soon after this Albertinelli temporarily abandoned painting to become an innkeeper, saying (according to Vasari) that he was fed up with criticism and wanted a 'less difficult and more cheerful craft'. Vasari also says he was a 'restless man, a follower of Venus, and a good liver.' His paintings are elegant but rather insipid. His best work is the Visitation (1503) in the Uffizi Gallery, Florence.



"
48,"ALBERTOLLI, Giocondo","(b. 1743, Bedano, d. 1839, Milano)",https://www.wga.hu/bio/a/albertol/biograph.html,"
Swiss-born Italian architect, sculptor and designer. He is noted for his influential Neoclassical ornamental designs and for work as an interior decorator in Milan (Palazzo Reale) and Florence (Palazzo Pitti). He trained in Parma where he also met Ennemond Alexandre Petitot. He became a professor at the Milan Accademia di Belle Arti in 1775 and he directed the school of ornament there until 1812.



"
49,"ALBOTTO, Francesco","(b. 1721, Venezia, d. 1757, Venezia)",https://www.wga.hu/bio/a/albotto/biograph.html,"
Italian painter. Until quite recently, little was known of the life of this 18th-century Venetian painter who only lived for 37 years. He was a young assistant to Marieschi at the time of Marieschi's death in 1741. He was also a view painter and he married the widow of Marieschi and called himself the ""second"" Marieschi. He continued to produce pictures for the busy Venetian market, usually of decidedly good quality but rather reminiscent of Marieschi. His pictures are quite rare.  His imitations of the master's work have created a good deal of confusion between the two artists. Ultimately, however, Albotto's style began to ossify and he started to repeat himself, making it less difficult to separate his work from that of Marieschi."
50,"ALCIBAR, José de","(b. 1725/30, Mexico, d. 1803, Mexico)",https://www.wga.hu/bio/a/alcibar/biograph.html,"
Mexican painter, the last of the painters belonging to the old Mexican school. Very little is known about his life. He was a member of the Mexican academy of art which existed in Mexico City from 1753. The academy probably consisted mostly of Christian subject painters and possibly sculptors. Alcibar executed many works of merit, especially two large paintings in the cathedral of Mexico, dated 1779. 



"
51,"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",https://www.wga.hu/bio/a/aldrovan/biograph.html,"
Renaissance naturalist and physician noted for his systematic and accurate observations of animals, plants, and minerals."
52,"ALEANDRI, Ireneo","(b. 1795, San Severino Marche, d. 1885, Macerata)",https://www.wga.hu/bio/a/aleandri/biograph.html,"
Italian architect. He studied at the Accademia di San Luca in Rome. In his youth, he completed a number of restorations and buildings in his native town, including a restoration of the Porta di San Lorenzo (1820), the Teatro Feronia (1823), and the church of San Paolo (1828), the church of San Michele (1830), and the Torre dell'Orologio in the Piazza del Popolo (1832). His masterpiece is the Sferisterio di Macerata (completed in 1829)."
53,"ALEKSANDROVIÆ, Ljubomir","(b. 1828, Srpski Sv. Marton, d. 1887)",https://www.wga.hu/bio/a/aleksand/biograph.html,"
Serbian painter of Romanticism. He learned painting in Temesvár with Nikola Aleksić (1808-1873), and later continued to study in Konstantin Danil's (1802-1873) workshop. Most probably he graduated in Vienna's Academy of Art. He worked in Temesvár, usually for church, but he also painted some portraits.



"
